1	atlas-journal	Atlas Journal	01-atlas-journal.html
2	northstar-studio	Northstar Studio	02-northstar-studio.html
3	cedar-stone	Cedar & Stone	03-cedar-stone.html
4	field-lab	Field Lab	04-field-lab.html
5	harbor-weather	Harbor Weather	05-harbor-weather.html
6	local-library	Local Library	06-local-library.html
7	ember-cafe	Ember Café	07-ember-cafe.html
8	trail-guide	Trail Guide	08-trail-guide.html
9	signal-status	Signal Status	09-signal-status.html
10	mono-docs	Mono Docs	10-mono-docs.html
11	analog-radio	Analog Radio	11-analog-radio.html
12	city-calendar	City Calendar	12-city-calendar.html
13	pixel-gallery	Pixel Gallery	13-pixel-gallery.html
14	quiet-finance	Quiet Finance	14-quiet-finance.html
15	signal-runner	Signal Runner	15-signal-runner.html
